,Variable,Explanation
0,title,The title of the song
1,artist,The artist of the song
2,top genre,The genre of the song
3,year,The year the song was in the Billboard
4,bpm,Beats per minute - the tempo of the song
5,nrgy,The energy of the song
6,dnce,The danceability of the song
7,dB,Decibel - the loudness of the song
8,live,Liveness -  likeliness the song was recorded live
9,val,Valence - how positive the mood of the song is
10,dur,The duration of the song
11,acous,The acousticness of the song
12,spch,Speechiness - higher value = more spoken words in the song
13,pop,Popularity
